Definition	Acronym	AcronymID
continuing medical education                                                                                                                                                                                                                                                                                                                                                                                    	CME                                	66
contract management organization                                                                                                                                                                                                                                                                                                                                                                                	CMO                                	67
Centers for Medicare and Medicaid Services (DHHS) (formerly HCFA)                                                                                                                                                                                                                                                                                                                                               	CMS                                	68
central nervous system                                                                                                                                                                                                                                                                                                                                                                                          	CNS                                	69
Commissioned Officers Association (PHS)                                                                                                                                                                                                                                                                                                                                                                         	COA                                	70
Consolidated Omnibus Budget Reconciliation Act                                                                                                                                                                                                                                                                                                                                                                  	COBRA                              	71
conflict of interest                                                                                                                                                                                                                                                                                                                                                                                            	COI                                	72
Control of Major Accident Hazards Regulations 1999                                                                                                                                                                                                                                                                                                                                                              	COMAH                              	73
Center-wide Oracle Management Information System                                                                                                                                                                                                                                                                                                                                                                	COMIS                              	74
Compliance Status Information System                                                                                                                                                                                                                                                                                                                                                                            	COMSTAT                            	75
clean out of place                                                                                                                                                                                                                                                                                                                                                                                              	COP                                	76
EASE central repository module                                                                                                                                                                                                                                                                                                                                                                                  	CORE                               	77
certificate of suitability                                                                                                                                                                                                                                                                                                                                                                                      	CoS                                	78
Coding Symbols for Thesaurus of Adverse Reaction Terms                                                                                                                                                                                                                                                                                                                                                          	COSTART                            	79
commercial off-the-shelf software                                                                                                                                                                                                                                                                                                                                                                               	COTS                               	80
compliance program                                                                                                                                                                                                                                                                                                                                                                                              	CP                                 	81
Compliance Policy Guide                                                                                                                                                                                                                                                                                                                                                                                         	CPG                                	82
Compliance Program Guidance Manual                                                                                                                                                                                                                                                                                                                                                                              	CPGM                               	83
consumer price index                                                                                                                                                                                                                                                                                                                                                                                            	CPI                                	84
Committee for Proprietary Medicinal Products (EMEA)                                                                                                                                                                                                                                                                                                                                                             	CPMP                               	85
critical process parameter                                                                                                                                                                                                                                                                                                                                                                                      	CPP                                	86
Consumer Product Safety Commission                                                                                                                                                                                                                                                                                                                                                                              	CPSC                               	87
Current Procedural Terminology (AMA)                                                                                                                                                                                                                                                                                                                                                                            	CPT                                	88
clinical research associate                                                                                                                                                                                                                                                                                                                                                                                     	CRA                                	89
cooperative research and development agreement                                                                                                                                                                                                                                                                                                                                                                  	CRADA                              	90
clinical research coordinator                                                                                                                                                                                                                                                                                                                                                                                   	CRC                                	91
case report form                                                                                                                                                                                                                                                                                                                                                                                                	CRF                                	92
Clinical Research Information Exchange (FDA and NCI)                                                                                                                                                                                                                                                                                                                                                            	CRIX                               	93
corporate records management                                                                                                                                                                                                                                                                                                                                                                                    	CRM                                	94
contract research organization                                                                                                                                                                                                                                                                                                                                                                                  	CRO                                	95
Contamination Response System                                                                                                                                                                                                                                                                                                                                                                                   	CRS                                	96
case report tabulations                                                                                                                                                                                                                                                                                                                                                                                         	CRT                                	97
civil service                                                                                                                                                                                                                                                                                                                                                                                                   	CS                                 	98
clinically significant                                                                                                                                                                                                                                                                                                                                                                                          	CS                                 	99
Controlled Substances Act 	CSA	100
Center for the Study of Drug Development (Tufts University)                                                                                                                                                                                                                                                                                                                                                     	CSDD                               	101
consumer safety inspector                                                                                                                                                                                                                                                                                                                                                                                       	CSI                                	102
Committee on Safety of Medicines (UK)                                                                                                                                                                                                                                                                                                                                                                           	CSM                                	103
consumer safety officer                                                                                                                                                                                                                                                                                                                                                                                         	CSO                                	104
Center for Scientific Review (NIH)                                                                                                                                                                                                                                                                                                                                                                              	CSR                                	105
customer service records                                                                                                                                                                                                                                                                                                                                                                                        	CSR                                	106
customer service representative (EASE)                                                                                                                                                                                                                                                                                                                                                                          	CSR                                	107
